% Created on 30/3/2016.
% Proteins data for mututal information processing.
%
%
% Number of complexes: 12
%
& |         Proteins complexes          |           Binding partner           |  Dissociation Constant (in microM)  |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |                Cks1                 |                 p27                 |                 70                  |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |              Cks1-Skp2              |                 p27                 |                0.47                 |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |              Cks1-Cdk2              |                 p27                 |                 120                 |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |           Cks1-Cdk2-Skp2            |                 p27                 |                0.15                 |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |                Cks1                 |                Skp2                 |                0.014                |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |              Cks1-Cdk2              |                Skp2                 |                0.07                 |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |              Cks1-p27               |                Skp2                 |               0.0001                |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |            Cks1-Cdk2-p27            |                Skp2                 |               0.0001                |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |                Cks1                 |                Cdk2                 |                 1.5                 |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |              Cks1-Skp2              |                Cdk2                 |                  8                  |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |              Cks1-p27               |                Cdk2                 |                  3                  |
& |-------------------------------------|-------------------------------------|-------------------------------------|
  |            Cks1-Skp2-p27            |                Cdk2                 |                 2.6                 |
& |-------------------------------------|-------------------------------------|-------------------------------------|
